color,ablated,f1
r,None,0.36
b,Ethernet_size,0.36
b,Ethernet_dstHi,0.36103151862464183
b,Ethernet_dstLow,0.36103151862464183
b,Ethernet_srcHi,0.36
b,Ethernet_srcLow,0.36
b,Ethernet_type,0.36
b,IPv4_ihl,0.3684210526315789
b,IPv4_tos,0.3664596273291925
b,IPv4_length,0.3553008595988538
b,IPv4_id,0.36
b,IPv4_offset,0.36090225563909767
b,IPv4_ttl,0.245
b,IPv4_proto,0.36
b,IPv4_chksum,0.3553008595988538
b,IPv4_src,0.3489096573208723
b,IPv4_dst,0.36046511627906974
b,ICMP_type,0.36
b,ICMP_code,0.36
b,ICMP_chksum,0.36
b,TCP_sport,0.36
b,TCP_dport,0.36
b,TCP_seqNo,0.36
b,TCP_ackNo,0.36
b,TCP_dataOffset,0.3631123919308358
b,TCP_flags,0.36046511627906974
b,TCP_window,0.36
b,TCP_chksum,0.36
b,TCP_urgPtr,0.3684210526315789
b,TCP_options,0.3673469387755102
b,UDP_sport,0.36
b,UDP_dport,0.36
b,UDP_length,0.36103151862464183
b,UDP_chksum,0.36
